id,label,figure_id,figure_number,page,caption_text,file,saved_ext,bbox,width_px,height_px
figure_fig_0054,Figure,fig_0054,54,36,Рисунок 54 — Выбор действия,data\images\fig_0054.png,png,"(134.8800048828125, 290.6399841308594, 487.9800109863281, 591.4199829101562)",1472,1254
figure_fig_0055,Figure,fig_0055,55,37,Рисунок 55 — Ввод параметров запроса к внешней системе,data\images\fig_0055.png,png,"(162.47999572753906, 43.199981689453125, 461.3399658203125, 435.65997314453125)",1246,1636
figure_fig_0056,Figure,fig_0056,56,38,Рисунок 56 — Выбор действия «Сгенерировать событие,data\images\fig_0056.png,png,"(148.32000732421875, 90.0, 475.7400207519531, 370.6199951171875)",1365,1170
figure_fig_0057,Figure,fig_0057,57,38,"Рисунок 57 — Рассылка, в сценарии которой генерируется событие для клиента",data\images\fig_0057.png,png,"(55.91999816894531, 531.1199951171875, 576.5399780273438, 696.2999877929688)",2170,689
figure_fig_0058,Figure,fig_0058,58,39,Рисунок 58 — Событие «Создание промокода для клиента» и его аргументы,data\images\fig_0058.png,png,"(66.4800033569336, 98.15997314453125, 556.3800048828125, 434.219970703125)",2042,1401
figure_fig_0059,Figure,fig_0059,59,40,Рисунок 59 — Ввод аргументов для события,data\images\fig_0059.png,png,"(152.16000366210938, 43.199981689453125, 471.8999938964844, 347.1000061035156)",1333,1267
figure_fig_0060,Figure,fig_0060,60,40,"Рисунок 60 — Вторая рассылка, запускаемая по сгенерированному событию и использующая значения аргументов события",data\images\fig_0060.png,png,"(122.16000366210938, 418.79998779296875, 501.17999267578125, 570.2999877929688)",1580,632
figure_fig_0061,Figure,fig_0061,61,41,Рисунок 61 — Определение условий начала второй рассылки,data\images\fig_0061.png,png,"(101.04000091552734, 43.199981689453125, 522.0599975585938, 341.8199768066406)",1755,1245
figure_fig_0062,Figure,fig_0062,62,41,Рисунок 62 — После нажатия на кнопку «Получить промокод» для клиента выполнилась вторая рассылка,data\images\fig_0062.png,png,"(191.75999450683594, 430.3199462890625, 431.0999755859375, 671.8199462890625)",998,1007
figure_fig_0063,Figure,fig_0063,63,42,Рисунок 63 — Выбор действия «Сгенерировать intent»,data\images\fig_0063.png,png,"(143.75999450683594, 113.51998901367188, 480.29998779296875, 398.6999816894531)",1403,1189
figure_fig_0064,Figure,fig_0064,64,42,Рисунок 64 — Ввод параметров интента,data\images\fig_0064.png,png,"(172.32000732421875, 591.3599853515625, 451.260009765625, 781.5)",1163,793
figure_fig_0065,Figure,fig_0065,65,43,Рисунок 65 — Добавления блока-комментария,data\images\fig_0065.png,png,"(188.16000366210938, 377.03997802734375, 435.17999267578125, 539.3399658203125)",1030,677
figure_fig_0066,Figure,fig_0066,66,44,Рисунок 66 — Добавления блока «SMS-сообщения»,data\images\fig_0066.png,png,"(187.1999969482422, 43.19999694824219, 436.1400146484375, 206.94000244140625)",1038,683
figure_fig_0067,Figure,fig_0067,67,44,Рисунок 67 — Добавления блока «Форма»,data\images\fig_0067.png,png,"(188.8800048828125, 483.1199951171875, 435.17999267578125, 645.1799926757812)",1027,676
figure_fig_0068,Figure,fig_0068,68,45,Рисунок 68 — Связь исходит из события Start,data\images\fig_0068.png,png,"(187.1999969482422, 95.9999771118164, 435.6600036621094, 203.0999755859375)",1036,447
figure_fig_0069,Figure,fig_0069,69,45,Рисунок 69 — Связь исходит из кнопки «Узнать подробности»,data\images\fig_0069.png,png,"(59.040000915527344, 256.32000732421875, 564.5399780273438, 441.9000244140625)",2107,774
figure_fig_0070,Figure,fig_0070,70,46,Рисунок 70 — Связь исходит из блока с сообщением,data\images\fig_0070.png,png,"(60.47999954223633, 43.19999694824219, 563.0999755859375, 195.17999267578125)",2095,634
figure_fig_0071,Figure,fig_0071,71,46,Рисунок 71 — Вызов функции дублирования блока,data\images\fig_0071.png,png,"(194.16000366210938, 411.5999755859375, 429.41998291015625, 572.4599609375)",981,671
figure_fig_0072,Figure,fig_0072,72,47,Рисунок 72 — Определение местоположения сообщения,data\images\fig_0072.png,png,"(188.8800048828125, 43.199981689453125, 434.2200012207031, 335.5799865722656)",1023,1219
figure_fig_0073,Figure,fig_0073,73,47,Рисунок 73 — Удаление сообщения из блока,data\images\fig_0073.png,png,"(220.32000732421875, 448.3199768066406, 402.5400085449219, 663.6599731445312)",760,898
figure_fig_0074,Figure,fig_0074,74,48,Рисунок 74 — Ошибка при одновременном редактировании сценария в разных вкладках браузера,data\images\fig_0074.png,png,"(162.47999572753906, 262.5599670410156, 460.6199951171875, 341.0999755859375)",1243,328
figure_fig_0075,Figure,fig_0075,75,49,Рисунок 75 — Настройки условий начала рассылки,data\images\fig_0075.png,png,"(55.91999816894531, 43.20001220703125, 576.5399780273438, 329.82000732421875)",2170,1195
figure_fig_0076,Figure,fig_0076,76,51,Рисунок 76 — Ввод дополнительных настроек для условия «Начинать в заданное время и отправлять равномерно»,data\images\fig_0076.png,png,"(110.16000366210938, 162.239990234375, 512.9400024414062, 663.4199829101562)",1679,2089
figure_fig_0077,Figure,fig_0077,77,52,Рисунок 77 – Основные настройки равномерной рассылки с аудиторией из внешней системы,data\images\fig_0077.png,png,"(55.91999816894531, 326.8800048828125, 576.2999877929688, 532.6199951171875)",2169,858
figure_fig_0078,Figure,fig_0078,78,54,Рисунок 78 – параметры авторизации внешнего REST-сервиса,data\images\fig_0078.png,png,"(72.4800033569336, 84.0, 550.8599853515625, 220.3800048828125)",1994,569
figure_fig_0079,Figure,fig_0079,79,54,Рисунок 79 – Успешное выполнение тестового запроса на загрузку аудитории рассылки,data\images\fig_0079.png,png,"(55.91999816894531, 453.3599853515625, 576.5399780273438, 706.6199951171875)",2170,1056
figure_fig_0080,Figure,fig_0080,80,55,Рисунок 80 – Выполнение тестового запроса завершилось ошибкой. Формат данных в ответе внешнего REST-сервиса не соответствует требуемому.,data\images\fig_0080.png,png,"(55.91999816894531, 83.99996948242188, 576.5399780273438, 231.89996337890625)",2170,617
figure_fig_0081,Figure,fig_0081,81,55,Рисунок 81 – Загрузка журнала запросов аудитории рассылки,data\images\fig_0081.png,png,"(55.91999816894531, 473.03997802734375, 576.5399780273438, 606.0599975585938)",2170,555
figure_fig_0082,Figure,fig_0082,82,57,"Рисунок 82 — Настройка рассылки, которая начинается по ключевым словам",data\images\fig_0082.png,png,"(107.04000091552734, 43.19999694824219, 516.2999877929688, 290.94000244140625)",1706,1033
figure_fig_0083,Figure,fig_0083,83,59,Рисунок 83 - Настройка ограничения времени запуска рассылки,data\images\fig_0083.png,png,"(137.0399932861328, 257.27996826171875, 486.53997802734375, 361.4999694824219)",1457,435
figure_fig_0084,Figure,fig_0084,84,59,Рисунок 84 – Настройка времени окончания запусков для равномерных рассылок,data\images\fig_0084.png,png,"(113.76000213623047, 590.1599731445312, 509.1000061035156, 685.97998046875)",1648,400
figure_fig_0085,Figure,fig_0085,85,60,Рисунок 85 — Настройка запрещенного времени и дней недели для рассылок,data\images\fig_0085.png,png,"(113.76000213623047, 303.3599853515625, 509.1000061035156, 416.94000244140625)",1648,474
figure_fig_0086,Figure,fig_0086,86,61,"Рисунок 86 — Расширенные настройки для рассылок, начинающихся по событию или по тегу",data\images\fig_0086.png,png,"(143.75999450683594, 43.199981689453125, 480.05999755859375, 263.0999755859375)",1402,917
figure_fig_0087,Figure,fig_0087,87,61,Рисунок 87 — Расширенные настройки для рассылок с фиксированной аудиторией,data\images\fig_0087.png,png,"(138.47999572753906, 334.7999572753906, 485.58001708984375, 578.699951171875)",1447,1017
figure_fig_0088,Figure,fig_0088,88,62,"Рисунок 88 — Исключение клиентов, добавленных в другие рассылки",data\images\fig_0088.png,png,"(119.76000213623047, 259.67999267578125, 506.46002197265625, 344.4599914550781)",1612,354
figure_fig_0089,Figure,fig_0089,89,65,Рисунок 89 — Вкладка «Целевая аудитория»,data\images\fig_0089.png,png,"(55.91999816894531, 249.3599853515625, 576.5399780273438, 384.29998779296875)",2170,563
figure_fig_0090,Figure,fig_0090,90,69,Рисунок 90 — Пример загрузки данных аудитории рассылки с ошибками,data\images\fig_0090.png,png,"(86.16000366210938, 563.52001953125, 536.9400024414062, 784.8599853515625)",1879,923
figure_fig_0091,Figure,fig_0091,91,70,"Рисунок 91 — Файл с идентификаторами клиентов, при загрузке которых произошла ошибка",data\images\fig_0091.png,png,"(223.1999969482422, 90.0, 399.41998291015625, 220.3800048828125)",735,544
figure_fig_0092,Figure,fig_0092,92,70,Рисунок 92 — Файл с ошибочными значениями макросов клиентов,data\images\fig_0092.png,png,"(61.20000076293945, 309.1199951171875, 562.6199951171875, 389.3399963378906)",2090,335
figure_fig_0093,Figure,fig_0093,93,70,Рисунок 93 — Пример загрузки данных аудитории рассылки с ошибками в макросах,data\images\fig_0093.png,png,"(62.880001068115234, 461.03997802734375, 560.7000122070312, 696.2999877929688)",2075,981
figure_fig_0094,Figure,fig_0094,94,71,Рисунок 94 — Переход к загрузке аудитории рассылки,data\images\fig_0094.png,png,"(77.04000091552734, 182.3999786376953, 546.0599975585938, 417.41998291015625)",1955,980
figure_fig_0095,Figure,fig_0095,95,71,Рисунок 95 — Загрузка аудитории рассылки,data\images\fig_0095.png,png,"(155.75999450683594, 488.8800048828125, 466.8599853515625, 601.260009765625)",1297,469
figure_fig_0096,Figure,fig_0096,96,73,Рисунок 96 — Невозможно изменить условия начала для включенной в активном/пассивном режиме рассылки,data\images\fig_0096.png,png,"(109.19999694824219, 234.47998046875, 517.5, 382.1399841308594)",1702,616
figure_fig_0097,Figure,fig_0097,97,73,Рисунок 97 — Невозможно изменить аудиторию для включенной в активном/пассивном режиме рассылки,data\images\fig_0097.png,png,"(55.91999816894531, 421.91998291015625, 576.5399780273438, 604.8599853515625)",2170,763
figure_fig_0098,Figure,fig_0098,98,74,Рисунок 98 — Запуск рассылки,data\images\fig_0098.png,png,"(101.76000213623047, 43.199951171875, 521.5800170898438, 118.13995361328125)",1750,313
figure_fig_0099,Figure,fig_0099,99,74,Рисунок 99 — Пример рассылки,data\images\fig_0099.png,png,"(113.04000091552734, 525.1199951171875, 510.5400085449219, 771.1799926757812)",1657,1026
figure_fig_0100,Figure,fig_0100,100,75,Рисунок 100 — Изменения сценария рассылки без ее остановки,data\images\fig_0100.png,png,"(152.16000366210938, 259.44000244140625, 471.4200134277344, 376.1400146484375)",1331,487
figure_fig_0101,Figure,fig_0101,101,75,Рисунок 101 — Отключение рассылки,data\images\fig_0101.png,png,"(177.60000610351562, 599.5199584960938, 445.260009765625, 716.699951171875)",1116,489
figure_fig_0102,Figure,fig_0102,102,76,Рисунок 102 — Клонирование рассылки,data\images\fig_0102.png,png,"(71.04000091552734, 43.19996643066406, 553.02001953125, 168.77996826171875)",2009,524
figure_fig_0103,Figure,fig_0103,103,77,Рисунок 103 — Переход к добавлению SMS-провайдера,data\images\fig_0103.png,png,"(58.31999969482422, 113.51997375488281, 564.5399780273438, 338.9399719238281)",2110,940
figure_fig_0104,Figure,fig_0104,104,78,Рисунок 104 — Ввод параметров SMS-провайдера,data\images\fig_0104.png,png,"(142.32000732421875, 43.199981689453125, 481.260009765625, 451.9800109863281)",1413,1704
figure_fig_0105,Figure,fig_0105,105,79,Рисунок 105 — Выбор SMS-провайдера для рассылок,data\images\fig_0105.png,png,"(92.87999725341797, 94.08000183105469, 530.4599609375, 290.94000244140625)",1824,821
figure_fig_0106,Figure,fig_0106,106,79,Рисунок 106 — Доступен новый тип блока «SMS-сообщения»,data\images\fig_0106.png,png,"(187.1999969482422, 415.199951171875, 436.1400146484375, 578.699951171875)",1038,682
figure_fig_0107,Figure,fig_0107,107,80,Рисунок 107 — SMS-блок добавлен в сценарий рассылки,data\images\fig_0107.png,png,"(62.880001068115234, 43.199981689453125, 560.7000122070312, 373.5)",2075,1377
figure_fig_0108,Figure,fig_0108,108,80,Рисунок 108 — Добавление объектов к SMS-блоку,data\images\fig_0108.png,png,"(173.75999450683594, 552.239990234375, 448.8599853515625, 670.1400146484375)",1147,492
figure_fig_0109,Figure,fig_0109,109,81,Рисунок 109 — Переход к добавлению лендинга для SMS-блока,data\images\fig_0109.png,png,"(170.16000366210938, 430.0799865722656, 452.70001220703125, 550.8599853515625)",1178,504
figure_fig_0110,Figure,fig_0110,110,82,Рисунок 110 — Ввод данных для подключения лендинга к SMS-блоку,data\images\fig_0110.png,png,"(197.75999450683594, 96.47998046875, 425.0999755859375, 401.8199768066406)",948,1273
figure_fig_0111,Figure,fig_0111,111,84,Рисунок 111 — Тестовый запуск события для отправки клиенту SMS,data\images\fig_0111.png,png,"(55.91999816894531, 43.19999694824219, 576.5399780273438, 248.94000244140625)",2170,858
figure_fig_0112,Figure,fig_0112,112,85,"Рисунок 112 — Рассылка, присваивающая тег клиенту при нажатии на кнопку",data\images\fig_0112.png,png,"(104.16000366210938, 43.19996643066406, 519.4200439453125, 255.89996337890625)",1731,887
figure_fig_0113,Figure,fig_0113,113,85,Рисунок 113 — Ввод условия начала второй рассылки,data\images\fig_0113.png,png,"(135.60000610351562, 451.67999267578125, 488.2200012207031, 711.1799926757812)",1470,1082
figure_fig_0114,Figure,fig_0114,114,86,Рисунок 114 — Сценарий рассылки №2 и выполняется при нажатии клиентом на кнопку из рассылки №1,data\images\fig_0114.png,png,"(55.91999816894531, 43.19996643066406, 576.5399780273438, 222.77996826171875)",2170,749
figure_fig_0115,Figure,fig_0115,115,86,Рисунок 115 — Второе сообщение (рассылка №2) получено в результате установки клиенту тега в рассылке №1,data\images\fig_0115.png,png,"(207.60000610351562, 262.3199768066406, 415.9800109863281, 443.0999755859375)",869,754
figure_fig_0116,Figure,fig_0116,116,86,"Рисунок 116 — Установка тега StopSpecial2021 для кнопки «Нет, передумал»",data\images\fig_0116.png,png,"(61.20000076293945, 563.760009765625, 562.3800048828125, 742.6199951171875)",2089,746
figure_fig_0117,Figure,fig_0117,117,87,Рисунок 117 — Ввод условия остановки рассылки при получении тега,data\images\fig_0117.png,png,"(123.5999984741211, 90.0, 500.2200012207031, 253.5)",1570,682
figure_fig_0118,Figure,fig_0118,118,87,Рисунок 118 — Ввод условия остановки рассылки при снятии тега,data\images\fig_0118.png,png,"(125.04000091552734, 376.79998779296875, 498.7799987792969, 726.2999877929688)",1558,1457
figure_fig_0119,Figure,fig_0119,119,88,Рисунок 119 — Просмотр тегов,data\images\fig_0119.png,png,"(55.91999816894531, 229.19998168945312, 576.5399780273438, 562.8599853515625)",2170,1391
figure_fig_0120,Figure,fig_0120,120,89,Рисунок 120 — Создание тега при настройке кнопки-действия,data\images\fig_0120.png,png,"(199.1999969482422, 43.19996643066406, 423.6600036621094, 288.77996826171875)",936,1024
figure_fig_0121,Figure,fig_0121,121,89,Рисунок 121 — Создание тега при настройке условий запуска рассылки,data\images\fig_0121.png,png,"(55.91999816894531, 315.5999755859375, 576.5399780273438, 535.97998046875)",2170,919
figure_fig_0122,Figure,fig_0122,122,90,Рисунок 122 — Список тегов клиента в файле аудитории бота,data\images\fig_0122.png,png,"(55.91999816894531, 158.8800048828125, 576.5399780273438, 314.94000244140625)",2170,651
figure_fig_0123,Figure,fig_0123,123,91,Рисунок 123 — Переход к добавлению пользовательского события,data\images\fig_0123.png,png,"(61.20000076293945, 332.87994384765625, 562.6199951171875, 542.699951171875)",2090,875
figure_fig_0124,Figure,fig_0124,124,92,Рисунок 124 — Ввод аргументов события,data\images\fig_0124.png,png,"(140.8800048828125, 43.199981689453125, 482.94000244140625, 324.29998779296875)",1426,1172
figure_fig_0125,Figure,fig_0125,125,93,Рисунок 125 — Кнопки генерации событий в списке,data\images\fig_0125.png,png,"(58.31999969482422, 164.87998962402344, 565.739990234375, 419.5799865722656)",2115,1062
figure_fig_0126,Figure,fig_0126,126,93,Рисунок 126 — Кнопка генерации события на странице события,data\images\fig_0126.png,png,"(146.16000366210938, 446.15997314453125, 476.70001220703125, 765.6599731445312)",1378,1332
figure_fig_0127,Figure,fig_0127,127,94,Рисунок 127 — Сгенерировано событие с идентификатором запуска (launch_result_id),data\images\fig_0127.png,png,"(185.75999450683594, 107.51997375488281, 437.0999755859375, 359.8199768066406)",1048,1052
figure_fig_0128,Figure,fig_0128,128,94,Рисунок 128 — Просмотр результатов генерации события в разделе «Отладка»,data\images\fig_0128.png,png,"(89.76000213623047, 447.8399658203125, 534.2999877929688, 746.219970703125)",1853,1244
figure_fig_0129,Figure,fig_0129,129,95,Рисунок 129 — Кнопки для копирования запроса в формате curl,data\images\fig_0129.png,png,"(104.87999725341797, 107.51998901367188, 517.97998046875, 411.8999938964844)",1722,1269
figure_fig_0130,Figure,fig_0130,130,96,Рисунок 130 — Генерация отложенного события подтверждения номера телефона,data\images\fig_0130.png,png,"(82.31999969482422, 372.9599609375, 541.260009765625, 722.4599609375)",1913,1457
