chunk_id,page_start,page_end,type,font_size,text,bbox,hyperlink_target,items
ch0019,8,8,list_block,12.0,"• сообщение о готовности заказа;
• отправка клиенту секретного кода.","(56.66400146484375, 693.7554931640625, 62.18353271484375, 708.4566650390625)",,"['• сообщение о готовности заказа;', '• отправка клиенту секретного кода.']"
ch0021,8,8,paragraph,12.0,"Информационная рассылка приходит клиенту в любом состоянии, независимо от того, общается ли он с оператором или ботом. Поэтому информационные рассылки нужно использовать только для быстрого предоставления важной информации, и не","(56.66400146484375, 742.2960205078125, 569.52001953125, 756.2160034179688)",,
ch0022,9,9,paragraph,12.0,"9 использовать для предложения товаров, услуг и других сообщений, требующих ответа или реакции со стороны клиента, т. к. это будет неуместно в контексте возможной беседы клиента с оператором или ботом.","(308.760009765625, 810.47998046875, 318.0, 824.3999633789062)",,
ch0023,9,9,paragraph,12.0,Целевые рассылки,"(56.66400146484375, 106.81998443603516, 167.9499969482422, 120.73998260498047)",,
ch0024,9,9,paragraph,12.0,"Целевые рассылки предназначены для реализации более сложных сценариев: автоворонок продаж, предложения акций и т. п. Целевые рассылки выполняются только если диалог с клиентом закрыт. Если в момент выполнения рассылки оказывается, что диалог с клиентом открыт, то выполнение рассылки откладывается до закрытия диалога.","(55.704097747802734, 130.12998962402344, 569.9540405273438, 144.04998779296875)",,
ch0025,9,9,paragraph,22.08,Вход в консоль маркетолога,"(56.66400146484375, 211.67030334472656, 361.7921447753906, 239.2261505126953)",,
ch0026,9,9,paragraph,12.0,Для работы с консолью маркетолога необходима отдельная учетная запись. Учетная запись маркетолога создается администратором Maxbot в консоли управления.,"(56.66400146484375, 254.4700164794922, 569.4598999023438, 268.3900146484375)",,
ch0027,9,9,paragraph,12.0,Примечание:,"(56.66400146484375, 299.3799743652344, 136.72999572753906, 313.29998779296875)",,
ch0028,9,9,paragraph,12.0,"Вход в консоль маркетолога также можно выполнить с использованием учетной записи администратора (administrator), которая создается по умолчанию. Пароль для доступа к консоли оператора такой же, как и к консоли управления.","(56.66400146484375, 322.65997314453125, 569.887939453125, 336.5799865722656)",,
ch0029,9,9,paragraph,12.0,Для входа в консоль маркетолога нужно:,"(56.66400146484375, 385.0799865722656, 294.0, 399.0)",,
ch0030,9,9,ordered_list_block,12.0,1. Перейти в браузере по ссылке,"(56.66400146484375, 408.3599853515625, 63.50400161743164, 422.2799987792969)",,['1. Перейти в браузере по ссылке']
ch0031,9,9,paragraph,12.0,http://marketer.maxbot.ai/,"(254.02000427246094, 408.3599853515625, 407.5720520019531, 422.2799987792969)",http://marketer.maxbot.ai/,
ch0032,9,9,paragraph,12.0,.,"(407.69000244140625, 408.3599853515625, 413.3299865722656, 422.2799987792969)",http://marketer.maxbot.ai/,
ch0033,9,9,ordered_list_block,12.0,2. В открывшемся окне (см. Рисунок 3) ввести данные в форму авторизации:,"(56.66400146484375, 431.89996337890625, 65.66400146484375, 445.8199768066406)",,['2. В открывшемся окне (см. Рисунок 3) ввести данные в форму авторизации:']
ch0034,9,9,list_block,12.0,"• Компания — указать название компании;
• Логин — ввести логин учетной записи маркетолога;
• Пароль — ввести пароль учетной записи маркетолога.","(74.42400360107422, 455.35552978515625, 79.94353485107422, 470.05670166015625)",,"['• Компания — указать название компании;', '• Логин — ввести логин учетной записи маркетолога;', '• Пароль — ввести пароль учетной записи маркетолога.']"
ch0037,9,9,reference,11.04,Рисунок 3 — Окно авторизации консоли маркетолога,"(171.6699981689453, 782.0831909179688, 454.8500061035156, 794.8895874023438)",,
ch0038,10,10,paragraph,12.0,10 3. Нажать на кнопку «Войти».,"(306.1199951171875, 810.47998046875, 320.6400146484375, 824.3999633789062)",,
ch0039,10,10,reference,12.0,"При первом входе будет запущен мастер настройки пользователя, где последовательно будет предложено выбрать язык консоли маркетолога (см. Рисунок 4) и имя пользователя (см. Рисунок 5).","(56.66400146484375, 66.0199966430664, 569.4840087890625, 79.93999481201172)",9,
ch0040,10,10,reference,11.04,Рисунок 4 — Выбор языка консоли маркетолога,"(187.02999877929688, 293.783203125, 439.4900207519531, 306.589599609375)",,
ch0041,10,10,reference,11.04,Рисунок 5 — Ввод имени,"(248.97999572753906, 481.9831848144531, 377.3000183105469, 494.7895812988281)",,
ch0042,10,10,reference,12.0,После выбора языка и ввода имени необходимо нажать на кнопку «Закончить» (см. Рисунок 6).,"(56.66400146484375, 504.8600158691406, 569.5320434570312, 518.780029296875)",9,
ch0043,10,10,reference,11.04,Рисунок 6 — Все готово к использованию консоли маркетолога,"(145.72999572753906, 724.2232055664062, 480.5500183105469, 737.0296020507812)",,
ch0044,10,10,paragraph,12.0,Примечание:,"(56.66400146484375, 750.9600219726562, 133.85000610351562, 764.8800048828125)",,
ch0045,10,10,paragraph,12.0,"В дальнейшем и язык консоли, и имя пользователя можно будет изменить.","(56.66400146484375, 774.47998046875, 477.9100036621094, 788.3999633789062)",,
ch0046,11,11,paragraph,12.0,11,"(307.79998779296875, 810.47998046875, 318.9599914550781, 824.3999633789062)",,
ch0047,11,11,paragraph,22.08,Интерфейс для работы с рассылками,"(56.66400146484375, 42.42030334472656, 457.8221435546875, 69.97614288330078)",,
ch0048,11,11,reference,12.0,Внешний вид интерфейса консоли маркетолога показан на рисунке 7.,"(56.66400146484375, 85.22000885009766, 462.7699890136719, 99.14000701904297)",10,
ch0049,11,11,reference,11.04,Рисунок 7 — Интерфейс консоли управления после авторизации маркетолога,"(107.08999633789062, 353.08319091796875, 519.4299926757812, 365.88958740234375)",,
ch0050,11,11,paragraph,12.0,В левой части окна находится меню для навигации по разделам консоли маркетолога. После входа по умолчанию выбран раздел «Рассылки».,"(56.66400146484375, 375.9599609375, 569.4479370117188, 389.8799743652344)",,
ch0051,11,11,reference,12.0,"Для удобства маркетолога и структурирования созданных рассылок предусмотрена система каталогов. Изначально для рассылок задан только один каталог «Все рассылки», но при помощи кнопки «+ Добавить каталог» (отображается внизу слева от списка рассылок) можно сформировать требуемую структуру (см. Рисунок 8).","(56.66400146484375, 416.7599792480469, 569.5200805664062, 430.67999267578125)",10,
ch0052,11,11,reference,11.04,Рисунок 8 — Пример структуры каталогов для рассылок,"(164.9499969482422, 756.4031982421875, 461.57000732421875, 769.2095947265625)",,
ch0053,12,12,reference,12.0,"12 На мобильной версии и на десктопах при небольшом размере окна браузера открыть каталоги рассылок можно, нажав на кнопку слева от формы поиска (см. Рисунок 9).","(306.6000061035156, 810.47998046875, 319.9200134277344, 824.3999633789062)",11,
ch0054,12,12,reference,11.04,Рисунок 9 — Отображение кнопки для просмотра структуры каталогов рассылок в мобильной версии,"(64.8239974975586, 350.44317626953125, 560.89990234375, 363.24957275390625)",,
ch0055,12,12,reference,12.0,"В правом верхнем углу отображаются данные текущего авторизованного пользователя (маркетолога). При нажатии на можно раскрыть контекстное меню, позволяющее перейти к настройкам, загрузить документацию, перейти к разделам помощи или выйти из консоли маркетолога (см. Рисунок 10).","(56.66400146484375, 386.03997802734375, 569.5680541992188, 399.9599914550781)",11,
ch0056,12,12,reference,11.04,Рисунок 10 — Контекстное меню,"(228.10000610351562, 638.51318359375, 398.1800231933594, 651.319580078125)",,
ch0057,12,12,reference,12.0,"Также рядом с именем маркетолога отображается иконка , при нажатии на которую можно выполнить переход в другие интерфейсы Maxbot — консоль оператора (Agent) или администратора (Studio), см. Рисунок 11.","(56.66400146484375, 665.4700317382812, 399.40802001953125, 679.3900146484375)",12,
ch0058,13,13,paragraph,12.0,13,"(306.6000061035156, 810.47998046875, 319.9200134277344, 824.3999633789062)",,
ch0059,13,13,reference,11.04,Рисунок 11— Меню для перехода в консоль оператора или администратора,"(112.8499984741211, 126.93316650390625, 513.6699829101562, 139.73956298828125)",,
ch0060,13,13,reference,12.0,"Для создания рассылки используется кнопка «+Создать», которая находится в правом верхнем углу раздела «Рассылки» (см. Рисунок 12).","(56.66400146484375, 149.8099822998047, 569.8159790039062, 163.72998046875)",12,
ch0061,13,13,reference,11.04,Рисунок 12 — Переход к созданию рассылки,"(195.91000366210938, 417.1631774902344, 430.6100158691406, 429.9695739746094)",,
ch0062,13,13,reference,12.0,"После нажатия на кнопку «+ Создать» необходимо ввести название рассылки, выбрать тип — «информационная» или «целевая» (см. Рисунок 13).","(56.66400146484375, 440.0599670410156, 570.0341186523438, 453.97998046875)",12,
ch0063,13,13,reference,11.04,Рисунок 13 — Ввод названия и выбор типа рассылки,"(176.47000122070312, 684.8632202148438, 450.0500183105469, 697.6696166992188)",,
ch0064,13,13,reference,12.0,"Далее будет открыт интерфейс создания рассылки, включающий (см. Рисунок 14):","(56.66400146484375, 707.739990234375, 527.1400146484375, 721.6599731445312)",13,
ch0065,13,13,list_block,12.0,"• 3 вкладки, каждая из которых отвечает за соответствующий этап настройки рассылки:
• «Конструктор рассылки» (открывается по умолчанию) — вкладка для","(56.66400146484375, 731.1915283203125, 62.18353271484375, 745.8927001953125)",,"['• 3 вкладки, каждая из которых отвечает за соответствующий этап настройки рассылки:', '• «Конструктор рассылки» (открывается по умолчанию) — вкладка для']"
ch0067,13,13,paragraph,12.0,настройки сценария рассылки,"(506.8299865722656, 756.7200317382812, 570.033935546875, 770.6400146484375)",15,
ch0068,13,13,paragraph,12.0,;,"(206.7100067138672, 774.0, 212.35000610351562, 787.9199829101562)",15,
ch0069,14,14,paragraph,12.0,14,"(306.3599853515625, 810.47998046875, 320.3999938964844, 824.3999633789062)",,
ch0070,14,14,list_block,12.0,"• «Условия начала рассылки» — вкладка для определения условий запуска рассылки и действующих ограничений, см. подробнее в разделе","(74.42400360107422, 42.675537109375, 79.94353485107422, 57.376708984375)",,"['• «Условия начала рассылки» — вкладка для определения условий запуска рассылки и действующих ограничений, см. подробнее в разделе']"
ch0071,14,14,paragraph,12.0,Настройка условий начала рассылок,"(504.42999267578125, 60.979957580566406, 570.033935546875, 74.89995574951172)",47,
ch0072,14,14,paragraph,12.0,;,"(243.4600067138672, 78.4999771118164, 249.10000610351562, 92.41997528076172)",47,
ch0073,14,14,list_block,12.0,"• «Целевая аудитория» — вкладка для подготовки данных для рассылок с фиксированной аудиторией, см. подробнее в разделе","(74.42400360107422, 101.95550537109375, 79.94353485107422, 116.65667724609375)",,"['• «Целевая аудитория» — вкладка для подготовки данных для рассылок с фиксированной аудиторией, см. подробнее в разделе']"
ch0074,14,14,paragraph,12.0,Определение аудитории,"(406.489990234375, 120.28995513916016, 549.6859130859375, 134.2099609375)",63,
ch0075,14,14,paragraph,12.0,.,"(549.5800170898438, 120.28995513916016, 555.219970703125, 134.2099609375)",63,
ch0076,14,14,list_block,12.0,"• 2 вкладки, отражающие результаты запуска рассылки:
• «Статистика» — вкладка для просмотра","(56.66400146484375, 143.74554443359375, 62.18353271484375, 158.44671630859375)",,"['• 2 вкладки, отражающие результаты запуска рассылки:', '• «Статистика» — вкладка для просмотра']"
ch0078,14,14,paragraph,12.0,статистики,"(324.8399963378906, 169.24998474121094, 387.6720275878906, 183.16998291015625)",155,
ch0079,14,14,paragraph,12.0,по текущей рассылке;,"(387.739990234375, 169.24998474121094, 520.3900146484375, 183.16998291015625)",155,
ch0080,14,14,list_block,12.0,"• «Журнал» — вкладка для просмотра статусов отправки рассылки для клиентов, см. подробнее в разделе","(74.66400146484375, 192.72552490234375, 80.18353271484375, 207.42669677734375)",,"['• «Журнал» — вкладка для просмотра статусов отправки рассылки для клиентов, см. подробнее в разделе']"
ch0081,14,14,paragraph,12.0,Просмотр журнала рассылок,"(219.6999969482422, 211.03001403808594, 389.3921203613281, 224.95001220703125)",129,
ch0082,14,14,paragraph,12.0,;,"(389.6600036621094, 211.03001403808594, 395.29998779296875, 224.95001220703125)",129,
ch0083,14,14,list_block,12.0,"• Тип рассылки;
• Состояние рассылки;
• Кнопка для обновления сценария рассылки;
• Иконки для управления запуском и остановкой рассылки. Подробнее об управлении запуском рассылки (состоянием рассылки) см. в разделе","(56.66400146484375, 234.48553466796875, 62.18353271484375, 249.18670654296875)",,"['• Тип рассылки;', '• Состояние рассылки;', '• Кнопка для обновления сценария рассылки;', '• Иконки для управления запуском и остановкой рассылки. Подробнее об управлении запуском рассылки (состоянием рассылки) см. в разделе']"
ch0087,14,14,paragraph,12.0,"Запуск, перезапуск и остановка рассылок","(436.010009765625, 326.0199890136719, 569.9420166015625, 339.94000244140625)",71,
ch0088,14,14,paragraph,12.0,.,"(194.22999572753906, 343.53997802734375, 199.8699951171875, 357.4599914550781)",71,
ch0089,14,14,reference,11.04,Рисунок 14 — Интерфейс настройки рассылки (открыт конструктор рассылки),"(108.52999877929688, 603.9531860351562, 517.989990234375, 616.7595825195312)",,
ch0090,14,14,reference,12.0,Иконка для управления запуском и остановом рассылок также отображается и в списке рассылок (см. Рисунок 15).,"(56.66400146484375, 629.4700317382812, 126.5520248413086, 643.3900146484375)",14,
ch0091,15,15,paragraph,12.0,15,"(306.6000061035156, 810.47998046875, 320.1600036621094, 824.3999633789062)",,
ch0092,15,15,reference,11.04,Рисунок 15 — Расположение кнопок запуска / остановки в списке рассылок,"(112.37000274658203, 203.033203125, 513.9099731445312, 215.839599609375)",,
ch0093,15,15,reference,12.0,"Меню, вызываемое при помощи иконки , позволяет (см. Рисунок 16):","(56.66400146484375, 229.98997497558594, 282.7439880371094, 243.90997314453125)",14,
ch0094,15,15,list_block,12.0,• Посмотреть,"(56.66400146484375, 253.445556640625, 62.18353271484375, 268.146728515625)",,['• Посмотреть']
ch0095,15,15,paragraph,12.0,статистику,"(145.25, 254.4700164794922, 207.4819793701172, 268.3900146484375)",155,
ch0096,15,15,paragraph,12.0,;,"(207.6699981689453, 254.4700164794922, 213.30999755859375, 268.3900146484375)",155,
ch0097,15,15,list_block,12.0,• Посмотреть,"(56.66400146484375, 277.95550537109375, 62.18353271484375, 292.65667724609375)",,['• Посмотреть']
ch0098,15,15,paragraph,12.0,Журнал,"(145.25, 278.9799499511719, 190.21400451660156, 292.89996337890625)",129,
ch0099,15,15,paragraph,12.0,;,"(190.38999938964844, 278.9799499511719, 196.02999877929688, 292.89996337890625)",129,
ch0100,15,15,list_block,12.0,• Выгрузить данные,"(56.66400146484375, 302.195556640625, 62.18353271484375, 316.896728515625)",,['• Выгрузить данные']
ch0101,15,15,paragraph,12.0,;,"(177.42999267578125, 303.2200012207031, 183.30999755859375, 317.1400146484375)",132,
ch0102,15,15,list_block,12.0,"• Сгенерировать событие;
• Переместить рассылку в нужный каталог;
• Клонировать (дублировать) рассылку;
• Удалить рассылку.","(56.66400146484375, 326.675537109375, 62.18353271484375, 341.376708984375)",,"['• Сгенерировать событие;', '• Переместить рассылку в нужный каталог;', '• Клонировать (дублировать) рассылку;', '• Удалить рассылку.']"
ch0106,15,15,reference,11.04,Рисунок 16 — Расположение кнопок меню в списке рассылок,"(152.2100067138672, 655.3131713867188, 474.07000732421875, 668.1195678710938)",,
ch0107,15,15,reference,12.0,Колонка с названием «Тип» визуализирует тип указанной рассылки (см. Рисунок 15).,"(56.66400146484375, 678.2200317382812, 570.0999755859375, 692.1400146484375)",14,
ch0108,15,15,paragraph,12.0,"Информационные рассылки обозначаются иконкой , а целевые – .","(56.66400146484375, 698.6199951171875, 355.70001220703125, 712.5399780273438)",,
ch0109,16,16,paragraph,12.0,16,"(306.6000061035156, 810.47998046875, 319.9200134277344, 824.3999633789062)",,
ch0110,16,16,reference,11.04,Рисунок 17 — Расположение кнопок запуска / остановки в списке рассылок,"(112.61000061035156, 203.033203125, 513.6699829101562, 215.839599609375)",,
ch0111,16,16,reference,12.0,"Рядом со строкой поиска рассылки по названию справа размещена иконка фильтра . При ее нажатии можно отфильтровать рассылки в каталоге по типу рассылки (информационная и целевая) и по состоянию рассылки (не запускалась, включена в активном режиме, в пассивном и выключена) см. Рисунок 18.","(56.66400146484375, 225.91001892089844, 551.72607421875, 239.83001708984375)",15,
ch0112,16,16,reference,11.04,"Рисунок 18 - Фильтры, применяемые в каталоге рассылок","(160.8699951171875, 448.8631896972656, 465.4300231933594, 461.6695861816406)",,
ch0113,16,16,paragraph,22.08,Настройка сценария рассылки,"(56.66400146484375, 473.580322265625, 392.0321350097656, 501.1361389160156)",,
ch0114,16,16,paragraph,12.0,"Конструктор позволяет задать сценарий рассылки, который будет выполняться для каждого клиента из аудитории рассылки.","(56.66400146484375, 516.4099731445312, 569.5200805664062, 530.3299560546875)",,
ch0115,16,16,paragraph,12.0,Сценарий рассылки состоит из:,"(56.66400146484375, 557.2100219726562, 242.6199951171875, 571.1300048828125)",,
ch0116,16,16,list_block,12.0,"• события Start;
• блоков действий;
• связей между блоками действий.","(56.66400146484375, 580.905517578125, 62.18353271484375, 595.606689453125)",,"['• события Start;', '• блоков действий;', '• связей между блоками действий.']"
ch0119,16,16,paragraph,12.0,"При создании рассылки в конструкторе автоматически создается событие Start, которое является начальной точкой выполнения сценария рассылки. Также в редакторе отображается кнопка «Добавить блок», при помощи которой в рассылку добавляются блоки действий. События и блоки действий соединяются при помощи мыши, образуя связи.","(56.66400146484375, 653.9500122070312, 570.033935546875, 667.8699951171875)",,
ch0120,16,16,reference,12.0,"В простейшем случае сценарий рассылки представляет собой событие Start, связанное с одним блоком действий (см. Рисунок 19).","(56.66400146484375, 747.0960083007812, 570.0999755859375, 761.0159912109375)",16,
ch0121,17,17,paragraph,12.0,17,"(306.8399963378906, 810.47998046875, 319.67999267578125, 824.3999633789062)",,
ch0122,17,17,reference,11.04,Рисунок 19 — Создан сценарий простейшей рассылки,"(169.75, 278.18316650390625, 456.5299987792969, 290.98956298828125)",,
ch0123,17,17,paragraph,18.0,Событие Start,"(56.66400146484375, 302.7820129394531, 183.67599487304688, 325.2460021972656)",,
ch0124,17,17,reference,12.0,Событие Start происходит при запуске рассылки. После возникновения события Start сразу или через заданное время выполняются связанные с ним блоки действий (см. далее).,"(56.66400146484375, 337.0599670410156, 570.0999755859375, 350.97998046875)",,
ch0125,17,17,paragraph,18.0,Блоки действий,"(56.66400146484375, 401.2019958496094, 196.156005859375, 423.6659851074219)",,
ch0126,17,17,paragraph,12.0,Блок может содержать одно или несколько действий следующих типов:,"(56.66400146484375, 435.2599792480469, 468.30999755859375, 449.17999267578125)",,
ch0127,17,17,ordered_list_block,12.0,"1. Отправка сообщения;
2. Отправка сообщения, содержащего конфиденциальные данные для клиента;
3. Перевод в канал;
4. Отмена отправки запланированных сообщений этой рассылки;
5. Отмена действия кнопок рассылки;
6. Вызов внешней системы;
7. Генерация события;
8. Генерация интента.","(56.66400146484375, 458.77996826171875, 63.50400161743164, 472.6999816894531)",,"['1. Отправка сообщения;', '2. Отправка сообщения, содержащего конфиденциальные данные для клиента;', '3. Перевод в канал;', '4. Отмена отправки запланированных сообщений этой рассылки;', '5. Отмена действия кнопок рассылки;', '6. Вызов внешней системы;', '7. Генерация события;', '8. Генерация интента.']"
ch0135,17,17,paragraph,12.0,Отправка сообщения,"(56.66400146484375, 652.0299682617188, 183.7899932861328, 665.949951171875)",,
ch0136,17,17,paragraph,12.0,Сообщения могут содержать следующие элементы:,"(56.66400146484375, 675.3400268554688, 355.70001220703125, 689.260009765625)",,
ch0137,17,17,ordered_list_block,12.0,"1. Текст сообщения — текст, который будет отправлен клиенту в мессенджер. Для ввода текста используется поле стандартного блока действий (см. Рисунок 20);","(74.66400146484375, 698.8599853515625, 81.5040054321289, 712.7799682617188)",,"['1. Текст сообщения — текст, который будет отправлен клиенту в мессенджер. Для ввода текста используется поле стандартного блока действий (см. Рисунок 20);']"
ch0138,18,18,paragraph,12.0,18,"(306.6000061035156, 810.47998046875, 320.1600036621094, 824.3999633789062)",,
ch0139,18,18,reference,11.04,Рисунок 20 — Ввод текстового сообщения для отправки,"(165.6699981689453, 180.45318603515625, 460.8500061035156, 193.25958251953125)",,
ch0140,18,18,reference,12.0,"При нажатии на id сообщения (на представленном рисунке это «916») будет открыто окно редактирования, которое удобно использовать для ввода больших текстов рассылок.","(74.42400360107422, 203.34996032714844, 569.6378784179688, 217.26995849609375)",,
ch0141,18,18,ordered_list_block,12.0,"2. Медиа-контент — изображения, видео, аудио и документы, которые могут быть добавлены к сообщению. Поддерживаются наиболее распространенные форматы (см. таблицу 1).","(74.66400146484375, 261.6699523925781, 83.66400146484375, 275.5899658203125)",,"['2. Медиа-контент — изображения, видео, аудио и документы, которые могут быть добавлены к сообщению. Поддерживаются наиболее распространенные форматы (см. таблицу 1).']"
ch0142,18,18,reference,11.04,Таблица 1 — Рекомендуемые форматы файлов и их поддержка в мессенджерах,"(56.66400146484375, 319.70318603515625, 474.5500183105469, 332.50958251953125)",,
ch0143,18,18,paragraph,12.0,Тип Форматы Возможность загрузки файлов,"(62.42399978637695, 349.3199768066406, 85.34400177001953, 363.239990234375)",,
ch0144,18,18,paragraph,12.0,Viber ВКонтакте Telegram Facebook* Instagram,"(218.25999450683594, 359.6399841308594, 249.5800018310547, 373.55999755859375)",,
ch0145,18,18,caption,6.96,1,"(558.219970703125, 360.19677734375, 560.5863647460938, 368.2703857421875)",,
ch0146,18,18,list_block,12.0,* Изображение JPG JPEG PNG Да Да Да Да Да,"(560.8599853515625, 359.6399841308594, 568.4199829101562, 373.55999755859375)",,['* Изображение JPG JPEG PNG Да Да Да Да Да']
ch0147,18,18,paragraph,12.0,Видео MP4 Да Нет Да Да Да,"(62.42399978637695, 438.3799743652344, 100.96800231933594, 452.29998779296875)",,
ch0148,18,18,paragraph,12.0,Аудио MP3 Да Нет Да Да Да,"(62.42399978637695, 466.6999816894531, 100.24800109863281, 480.6199951171875)",,
ch0149,18,18,paragraph,12.0,Документ PDF DOC(X) XLS(X) TXT Да Да Да Да Да,"(62.42399978637695, 516.4099731445312, 119.69000244140625, 530.3299560546875)",,
ch0150,18,18,paragraph,12.0,Важно!,"(74.42400360107422, 569.2100219726562, 117.52999877929688, 583.1300048828125)",,
ch0151,18,18,reference,12.0,"Список рекомендованных форматов, указанный в таблице 1, не является исчерпывающим. У каждого мессенджера есть свой список, который со временем может изменяться. Кроме того, необходимо учитывать, что мессенджеры имеют свои особенности отображения медиа-контента (например, Viber в некоторых случаях не позволяет просматривать изображения в мессенджере).","(74.42400360107422, 592.510009765625, 119.6400146484375, 606.4299926757812)",17,
ch0152,18,18,caption,6.0,1,"(56.66400146484375, 753.095947265625, 58.704002380371094, 760.0559692382812)",,
ch0153,18,18,paragraph,10.08,"Отправка возможна для всех видов контента. При этом, для всех видов контента, кроме изображений, отправляется только ссылка на него. Соответственно, клиент не сможет просматривать аудио, видео или документ прямо в мессенджере (для этого нужно будет воспользоваться браузером или другим приложением.","(58.82400131225586, 752.9663696289062, 568.982421875, 764.6591796875)",,
ch0154,19,19,reference,12.0,"19 В таблице приведены наиболее универсальные форматы, подходящие для отправки клиенту в большинство мессенджеров. Перед запуском рассылки для клиентов необходимо предварительно тестировать рассылки на всех мессенджерах.","(306.6000061035156, 810.47998046875, 319.9200134277344, 824.3999633789062)",,
ch0155,19,19,paragraph,12.0,"Дополнительно нужно учитывать, что для некоторых мессенджеров важно, чтобы истинный формат файла соответствовал его расширению (т. е. чтобы изображение image.png действительно имело содержимое, предусмотренное форматом PNG, а не, например, данные в формате JPEG).","(74.42400360107422, 104.6600112915039, 569.5320434570312, 118.58000946044922)",,
ch0156,19,19,reference,12.0,Для добавления медиа-контента необходимо в блоке действий нажать на кнопку и в раскрывшемся меню выбрать пункт «Добавить медиа» (см. Рисунок 21).,"(74.42400360107422, 180.77000427246094, 541.9058837890625, 194.69000244140625)",18,
ch0157,19,19,reference,11.04,Рисунок 21 — Переход к добавлению медиа-контента,"(171.42999267578125, 419.56317138671875, 454.8500061035156, 432.36956787109375)",,
ch0158,19,19,paragraph,12.0,"Затем нужно задать тип медиа-контента и ввести ссылку (URL) на него, либо загрузить","(74.42400360107422, 442.4599609375, 569.9420166015625, 456.3799743652344)",,
ch0159,19,19,reference,12.0,с компьютера при помощи кнопки (см. Рисунок 22).,"(74.42400360107422, 464.29998779296875, 275.2560119628906, 478.2200012207031)",18,
ch0160,19,19,reference,11.04,Рисунок 22 — Добавление медиа-контента,"(199.50999450683594, 634.6731567382812, 426.77001953125, 647.4795532226562)",,
