id,label,chunk_id,page_start,page_end,type,font_size,text,bbox,hyperlink_target,items_raw,level,order,figure_id,figure_number,page,caption_text,file,saved_ext,width_px,height_px,value
chunk_ch0013,Chunk,ch0013,8.0,8.0,paragraph,12.0,В Maxbot можно создавать рассылки двух типов:,"(56.66400146484375, 510.1699523925781, 338.8800048828125, 524.0899658203125)",,,,,,,,,,,,,
chunk_ch0014,Chunk,ch0014,8.0,8.0,list_block,12.0,"• Информационные;
• Целевые.","(56.66400146484375, 533.8655395507812, 62.18353271484375, 548.5667114257812)",,"['• Информационные;', '• Целевые.']",,,,,,,,,,,
chunk_ch0016,Chunk,ch0016,8.0,8.0,paragraph,12.0,Информационные рассылки,"(56.66400146484375, 588.4099731445312, 220.77999877929688, 602.3299560546875)",,,,,,,,,,,,,
chunk_ch0017,Chunk,ch0017,8.0,8.0,paragraph,12.0,Информационные рассылки предназначены для немедленного информирования клиентов о событиях или срочного предоставления важной информации. Они не подразумевают реакцию клиента в мессенджере.,"(55.704097747802734, 611.9500122070312, 569.7879028320312, 625.8699951171875)",,,,,,,,,,,,,
chunk_ch0018,Chunk,ch0018,8.0,8.0,paragraph,12.0,Примеры информационных рассылок:,"(56.66400146484375, 670.0599975585938, 276.70001220703125, 683.97998046875)",,,,,,,,,,,,,
chunk_ch0019,Chunk,ch0019,8.0,8.0,list_block,12.0,"• сообщение о готовности заказа;
• отправка клиенту секретного кода.","(56.66400146484375, 693.7554931640625, 62.18353271484375, 708.4566650390625)",,"['• сообщение о готовности заказа;', '• отправка клиенту секретного кода.']",,,,,,,,,,,
chunk_ch0021,Chunk,ch0021,8.0,8.0,paragraph,12.0,"Информационная рассылка приходит клиенту в любом состоянии, независимо от того, общается ли он с оператором или ботом. Поэтому информационные рассылки нужно использовать только для быстрого предоставления важной информации, и не","(56.66400146484375, 742.2960205078125, 569.52001953125, 756.2160034179688)",,,,,,,,,,,,,
chunk_ch0022,Chunk,ch0022,9.0,9.0,paragraph,12.0,"9 использовать для предложения товаров, услуг и других сообщений, требующих ответа или реакции со стороны клиента, т. к. это будет неуместно в контексте возможной беседы клиента с оператором или ботом.","(308.760009765625, 810.47998046875, 318.0, 824.3999633789062)",,,,,,,,,,,,,
chunk_ch0023,Chunk,ch0023,9.0,9.0,paragraph,12.0,Целевые рассылки,"(56.66400146484375, 106.81998443603516, 167.9499969482422, 120.73998260498047)",,,,,,,,,,,,,
chunk_ch0024,Chunk,ch0024,9.0,9.0,paragraph,12.0,"Целевые рассылки предназначены для реализации более сложных сценариев: автоворонок продаж, предложения акций и т. п. Целевые рассылки выполняются только если диалог с клиентом закрыт. Если в момент выполнения рассылки оказывается, что диалог с клиентом открыт, то выполнение рассылки откладывается до закрытия диалога.","(55.704097747802734, 130.12998962402344, 569.9540405273438, 144.04998779296875)",,,,,,,,,,,,,
chunk_ch0025,Chunk,ch0025,9.0,9.0,paragraph,22.08,Вход в консоль маркетолога,"(56.66400146484375, 211.67030334472656, 361.7921447753906, 239.2261505126953)",,,,,,,,,,,,,
chunk_ch0026,Chunk,ch0026,9.0,9.0,paragraph,12.0,Для работы с консолью маркетолога необходима отдельная учетная запись. Учетная запись маркетолога создается администратором Maxbot в консоли управления.,"(56.66400146484375, 254.4700164794922, 569.4598999023438, 268.3900146484375)",,,,,,,,,,,,,
chunk_ch0027,Chunk,ch0027,9.0,9.0,paragraph,12.0,Примечание:,"(56.66400146484375, 299.3799743652344, 136.72999572753906, 313.29998779296875)",,,,,,,,,,,,,
chunk_ch0028,Chunk,ch0028,9.0,9.0,paragraph,12.0,"Вход в консоль маркетолога также можно выполнить с использованием учетной записи администратора (administrator), которая создается по умолчанию. Пароль для доступа к консоли оператора такой же, как и к консоли управления.","(56.66400146484375, 322.65997314453125, 569.887939453125, 336.5799865722656)",,,,,,,,,,,,,
chunk_ch0029,Chunk,ch0029,9.0,9.0,paragraph,12.0,Для входа в консоль маркетолога нужно:,"(56.66400146484375, 385.0799865722656, 294.0, 399.0)",,,,,,,,,,,,,
chunk_ch0030,Chunk,ch0030,9.0,9.0,ordered_list_block,12.0,1. Перейти в браузере по ссылке,"(56.66400146484375, 408.3599853515625, 63.50400161743164, 422.2799987792969)",,['1. Перейти в браузере по ссылке'],,,,,,,,,,,
chunk_ch0031,Chunk,ch0031,9.0,9.0,paragraph,12.0,http://marketer.maxbot.ai/,"(254.02000427246094, 408.3599853515625, 407.5720520019531, 422.2799987792969)",http://marketer.maxbot.ai/,,,,,,,,,,,,
chunk_ch0032,Chunk,ch0032,9.0,9.0,paragraph,12.0,.,"(407.69000244140625, 408.3599853515625, 413.3299865722656, 422.2799987792969)",http://marketer.maxbot.ai/,,,,,,,,,,,,
chunk_ch0033,Chunk,ch0033,9.0,9.0,ordered_list_block,12.0,2. В открывшемся окне (см. Рисунок 3) ввести данные в форму авторизации:,"(56.66400146484375, 431.89996337890625, 65.66400146484375, 445.8199768066406)",,['2. В открывшемся окне (см. Рисунок 3) ввести данные в форму авторизации:'],,,,,,,,,,,
chunk_ch0034,Chunk,ch0034,9.0,9.0,list_block,12.0,"• Компания — указать название компании;
• Логин — ввести логин учетной записи маркетолога;
• Пароль — ввести пароль учетной записи маркетолога.","(74.42400360107422, 455.35552978515625, 79.94353485107422, 470.05670166015625)",,"['• Компания — указать название компании;', '• Логин — ввести логин учетной записи маркетолога;', '• Пароль — ввести пароль учетной записи маркетолога.']",,,,,,,,,,,
chunk_ch0037,Chunk,ch0037,9.0,9.0,reference,11.04,Рисунок 3 — Окно авторизации консоли маркетолога,"(171.6699981689453, 782.0831909179688, 454.8500061035156, 794.8895874023438)",,,,,,,,,,,,,
chunk_ch0038,Chunk,ch0038,10.0,10.0,paragraph,12.0,10 3. Нажать на кнопку «Войти».,"(306.1199951171875, 810.47998046875, 320.6400146484375, 824.3999633789062)",,,,,,,,,,,,,
chunk_ch0039,Chunk,ch0039,10.0,10.0,reference,12.0,"При первом входе будет запущен мастер настройки пользователя, где последовательно будет предложено выбрать язык консоли маркетолога (см. Рисунок 4) и имя пользователя (см. Рисунок 5).","(56.66400146484375, 66.0199966430664, 569.4840087890625, 79.93999481201172)",9,,,,,,,,,,,,
chunk_ch0040,Chunk,ch0040,10.0,10.0,reference,11.04,Рисунок 4 — Выбор языка консоли маркетолога,"(187.02999877929688, 293.783203125, 439.4900207519531, 306.589599609375)",,,,,,,,,,,,,
chunk_ch0041,Chunk,ch0041,10.0,10.0,reference,11.04,Рисунок 5 — Ввод имени,"(248.97999572753906, 481.9831848144531, 377.3000183105469, 494.7895812988281)",,,,,,,,,,,,,
chunk_ch0042,Chunk,ch0042,10.0,10.0,reference,12.0,После выбора языка и ввода имени необходимо нажать на кнопку «Закончить» (см. Рисунок 6).,"(56.66400146484375, 504.8600158691406, 569.5320434570312, 518.780029296875)",9,,,,,,,,,,,,
chunk_ch0043,Chunk,ch0043,10.0,10.0,reference,11.04,Рисунок 6 — Все готово к использованию консоли маркетолога,"(145.72999572753906, 724.2232055664062, 480.5500183105469, 737.0296020507812)",,,,,,,,,,,,,
chunk_ch0044,Chunk,ch0044,10.0,10.0,paragraph,12.0,Примечание:,"(56.66400146484375, 750.9600219726562, 133.85000610351562, 764.8800048828125)",,,,,,,,,,,,,
chunk_ch0045,Chunk,ch0045,10.0,10.0,paragraph,12.0,"В дальнейшем и язык консоли, и имя пользователя можно будет изменить.","(56.66400146484375, 774.47998046875, 477.9100036621094, 788.3999633789062)",,,,,,,,,,,,,
chunk_ch0046,Chunk,ch0046,11.0,11.0,paragraph,12.0,11,"(307.79998779296875, 810.47998046875, 318.9599914550781, 824.3999633789062)",,,,,,,,,,,,,
chunk_ch0047,Chunk,ch0047,11.0,11.0,paragraph,22.08,Интерфейс для работы с рассылками,"(56.66400146484375, 42.42030334472656, 457.8221435546875, 69.97614288330078)",,,,,,,,,,,,,
chunk_ch0048,Chunk,ch0048,11.0,11.0,reference,12.0,Внешний вид интерфейса консоли маркетолога показан на рисунке 7.,"(56.66400146484375, 85.22000885009766, 462.7699890136719, 99.14000701904297)",10,,,,,,,,,,,,
chunk_ch0049,Chunk,ch0049,11.0,11.0,reference,11.04,Рисунок 7 — Интерфейс консоли управления после авторизации маркетолога,"(107.08999633789062, 353.08319091796875, 519.4299926757812, 365.88958740234375)",,,,,,,,,,,,,
chunk_ch0050,Chunk,ch0050,11.0,11.0,paragraph,12.0,В левой части окна находится меню для навигации по разделам консоли маркетолога. После входа по умолчанию выбран раздел «Рассылки».,"(56.66400146484375, 375.9599609375, 569.4479370117188, 389.8799743652344)",,,,,,,,,,,,,
chunk_ch0051,Chunk,ch0051,11.0,11.0,reference,12.0,"Для удобства маркетолога и структурирования созданных рассылок предусмотрена система каталогов. Изначально для рассылок задан только один каталог «Все рассылки», но при помощи кнопки «+ Добавить каталог» (отображается внизу слева от списка рассылок) можно сформировать требуемую структуру (см. Рисунок 8).","(56.66400146484375, 416.7599792480469, 569.5200805664062, 430.67999267578125)",10,,,,,,,,,,,,
chunk_ch0052,Chunk,ch0052,11.0,11.0,reference,11.04,Рисунок 8 — Пример структуры каталогов для рассылок,"(164.9499969482422, 756.4031982421875, 461.57000732421875, 769.2095947265625)",,,,,,,,,,,,,
chunk_ch0053,Chunk,ch0053,12.0,12.0,reference,12.0,"12 На мобильной версии и на десктопах при небольшом размере окна браузера открыть каталоги рассылок можно, нажав на кнопку слева от формы поиска (см. Рисунок 9).","(306.6000061035156, 810.47998046875, 319.9200134277344, 824.3999633789062)",11,,,,,,,,,,,,
chunk_ch0054,Chunk,ch0054,12.0,12.0,reference,11.04,Рисунок 9 — Отображение кнопки для просмотра структуры каталогов рассылок в мобильной версии,"(64.8239974975586, 350.44317626953125, 560.89990234375, 363.24957275390625)",,,,,,,,,,,,,
chunk_ch0055,Chunk,ch0055,12.0,12.0,reference,12.0,"В правом верхнем углу отображаются данные текущего авторизованного пользователя (маркетолога). При нажатии на можно раскрыть контекстное меню, позволяющее перейти к настройкам, загрузить документацию, перейти к разделам помощи или выйти из консоли маркетолога (см. Рисунок 10).","(56.66400146484375, 386.03997802734375, 569.5680541992188, 399.9599914550781)",11,,,,,,,,,,,,
chunk_ch0056,Chunk,ch0056,12.0,12.0,reference,11.04,Рисунок 10 — Контекстное меню,"(228.10000610351562, 638.51318359375, 398.1800231933594, 651.319580078125)",,,,,,,,,,,,,
chunk_ch0057,Chunk,ch0057,12.0,12.0,reference,12.0,"Также рядом с именем маркетолога отображается иконка , при нажатии на которую можно выполнить переход в другие интерфейсы Maxbot — консоль оператора (Agent) или администратора (Studio), см. Рисунок 11.","(56.66400146484375, 665.4700317382812, 399.40802001953125, 679.3900146484375)",12,,,,,,,,,,,,
chunk_ch0058,Chunk,ch0058,13.0,13.0,paragraph,12.0,13,"(306.6000061035156, 810.47998046875, 319.9200134277344, 824.3999633789062)",,,,,,,,,,,,,
chunk_ch0059,Chunk,ch0059,13.0,13.0,reference,11.04,Рисунок 11— Меню для перехода в консоль оператора или администратора,"(112.8499984741211, 126.93316650390625, 513.6699829101562, 139.73956298828125)",,,,,,,,,,,,,
chunk_ch0060,Chunk,ch0060,13.0,13.0,reference,12.0,"Для создания рассылки используется кнопка «+Создать», которая находится в правом верхнем углу раздела «Рассылки» (см. Рисунок 12).","(56.66400146484375, 149.8099822998047, 569.8159790039062, 163.72998046875)",12,,,,,,,,,,,,
chunk_ch0061,Chunk,ch0061,13.0,13.0,reference,11.04,Рисунок 12 — Переход к созданию рассылки,"(195.91000366210938, 417.1631774902344, 430.6100158691406, 429.9695739746094)",,,,,,,,,,,,,
chunk_ch0062,Chunk,ch0062,13.0,13.0,reference,12.0,"После нажатия на кнопку «+ Создать» необходимо ввести название рассылки, выбрать тип — «информационная» или «целевая» (см. Рисунок 13).","(56.66400146484375, 440.0599670410156, 570.0341186523438, 453.97998046875)",12,,,,,,,,,,,,
chunk_ch0063,Chunk,ch0063,13.0,13.0,reference,11.04,Рисунок 13 — Ввод названия и выбор типа рассылки,"(176.47000122070312, 684.8632202148438, 450.0500183105469, 697.6696166992188)",,,,,,,,,,,,,
chunk_ch0064,Chunk,ch0064,13.0,13.0,reference,12.0,"Далее будет открыт интерфейс создания рассылки, включающий (см. Рисунок 14):","(56.66400146484375, 707.739990234375, 527.1400146484375, 721.6599731445312)",13,,,,,,,,,,,,
chunk_ch0065,Chunk,ch0065,13.0,13.0,list_block,12.0,"• 3 вкладки, каждая из которых отвечает за соответствующий этап настройки рассылки:
• «Конструктор рассылки» (открывается по умолчанию) — вкладка для","(56.66400146484375, 731.1915283203125, 62.18353271484375, 745.8927001953125)",,"['• 3 вкладки, каждая из которых отвечает за соответствующий этап настройки рассылки:', '• «Конструктор рассылки» (открывается по умолчанию) — вкладка для']",,,,,,,,,,,
chunk_ch0067,Chunk,ch0067,13.0,13.0,paragraph,12.0,настройки сценария рассылки,"(506.8299865722656, 756.7200317382812, 570.033935546875, 770.6400146484375)",15,,,,,,,,,,,,
chunk_ch0068,Chunk,ch0068,13.0,13.0,paragraph,12.0,;,"(206.7100067138672, 774.0, 212.35000610351562, 787.9199829101562)",15,,,,,,,,,,,,
chunk_ch0069,Chunk,ch0069,14.0,14.0,paragraph,12.0,14,"(306.3599853515625, 810.47998046875, 320.3999938964844, 824.3999633789062)",,,,,,,,,,,,,
chunk_ch0070,Chunk,ch0070,14.0,14.0,list_block,12.0,"• «Условия начала рассылки» — вкладка для определения условий запуска рассылки и действующих ограничений, см. подробнее в разделе","(74.42400360107422, 42.675537109375, 79.94353485107422, 57.376708984375)",,"['• «Условия начала рассылки» — вкладка для определения условий запуска рассылки и действующих ограничений, см. подробнее в разделе']",,,,,,,,,,,
chunk_ch0071,Chunk,ch0071,14.0,14.0,paragraph,12.0,Настройка условий начала рассылок,"(504.42999267578125, 60.979957580566406, 570.033935546875, 74.89995574951172)",47,,,,,,,,,,,,
chunk_ch0072,Chunk,ch0072,14.0,14.0,paragraph,12.0,;,"(243.4600067138672, 78.4999771118164, 249.10000610351562, 92.41997528076172)",47,,,,,,,,,,,,
chunk_ch0073,Chunk,ch0073,14.0,14.0,list_block,12.0,"• «Целевая аудитория» — вкладка для подготовки данных для рассылок с фиксированной аудиторией, см. подробнее в разделе","(74.42400360107422, 101.95550537109375, 79.94353485107422, 116.65667724609375)",,"['• «Целевая аудитория» — вкладка для подготовки данных для рассылок с фиксированной аудиторией, см. подробнее в разделе']",,,,,,,,,,,
chunk_ch0074,Chunk,ch0074,14.0,14.0,paragraph,12.0,Определение аудитории,"(406.489990234375, 120.28995513916016, 549.6859130859375, 134.2099609375)",63,,,,,,,,,,,,
chunk_ch0075,Chunk,ch0075,14.0,14.0,paragraph,12.0,.,"(549.5800170898438, 120.28995513916016, 555.219970703125, 134.2099609375)",63,,,,,,,,,,,,
chunk_ch0076,Chunk,ch0076,14.0,14.0,list_block,12.0,"• 2 вкладки, отражающие результаты запуска рассылки:
• «Статистика» — вкладка для просмотра","(56.66400146484375, 143.74554443359375, 62.18353271484375, 158.44671630859375)",,"['• 2 вкладки, отражающие результаты запуска рассылки:', '• «Статистика» — вкладка для просмотра']",,,,,,,,,,,
chunk_ch0078,Chunk,ch0078,14.0,14.0,paragraph,12.0,статистики,"(324.8399963378906, 169.24998474121094, 387.6720275878906, 183.16998291015625)",155,,,,,,,,,,,,
chunk_ch0079,Chunk,ch0079,14.0,14.0,paragraph,12.0,по текущей рассылке;,"(387.739990234375, 169.24998474121094, 520.3900146484375, 183.16998291015625)",155,,,,,,,,,,,,
chunk_ch0080,Chunk,ch0080,14.0,14.0,list_block,12.0,"• «Журнал» — вкладка для просмотра статусов отправки рассылки для клиентов, см. подробнее в разделе","(74.66400146484375, 192.72552490234375, 80.18353271484375, 207.42669677734375)",,"['• «Журнал» — вкладка для просмотра статусов отправки рассылки для клиентов, см. подробнее в разделе']",,,,,,,,,,,
chunk_ch0081,Chunk,ch0081,14.0,14.0,paragraph,12.0,Просмотр журнала рассылок,"(219.6999969482422, 211.03001403808594, 389.3921203613281, 224.95001220703125)",129,,,,,,,,,,,,
chunk_ch0082,Chunk,ch0082,14.0,14.0,paragraph,12.0,;,"(389.6600036621094, 211.03001403808594, 395.29998779296875, 224.95001220703125)",129,,,,,,,,,,,,
chunk_ch0083,Chunk,ch0083,14.0,14.0,list_block,12.0,"• Тип рассылки;
• Состояние рассылки;
• Кнопка для обновления сценария рассылки;
• Иконки для управления запуском и остановкой рассылки. Подробнее об управлении запуском рассылки (состоянием рассылки) см. в разделе","(56.66400146484375, 234.48553466796875, 62.18353271484375, 249.18670654296875)",,"['• Тип рассылки;', '• Состояние рассылки;', '• Кнопка для обновления сценария рассылки;', '• Иконки для управления запуском и остановкой рассылки. Подробнее об управлении запуском рассылки (состоянием рассылки) см. в разделе']",,,,,,,,,,,
chunk_ch0087,Chunk,ch0087,14.0,14.0,paragraph,12.0,"Запуск, перезапуск и остановка рассылок","(436.010009765625, 326.0199890136719, 569.9420166015625, 339.94000244140625)",71,,,,,,,,,,,,
chunk_ch0088,Chunk,ch0088,14.0,14.0,paragraph,12.0,.,"(194.22999572753906, 343.53997802734375, 199.8699951171875, 357.4599914550781)",71,,,,,,,,,,,,
chunk_ch0089,Chunk,ch0089,14.0,14.0,reference,11.04,Рисунок 14 — Интерфейс настройки рассылки (открыт конструктор рассылки),"(108.52999877929688, 603.9531860351562, 517.989990234375, 616.7595825195312)",,,,,,,,,,,,,
chunk_ch0090,Chunk,ch0090,14.0,14.0,reference,12.0,Иконка для управления запуском и остановом рассылок также отображается и в списке рассылок (см. Рисунок 15).,"(56.66400146484375, 629.4700317382812, 126.5520248413086, 643.3900146484375)",14,,,,,,,,,,,,
chunk_ch0091,Chunk,ch0091,15.0,15.0,paragraph,12.0,15,"(306.6000061035156, 810.47998046875, 320.1600036621094, 824.3999633789062)",,,,,,,,,,,,,
chunk_ch0092,Chunk,ch0092,15.0,15.0,reference,11.04,Рисунок 15 — Расположение кнопок запуска / остановки в списке рассылок,"(112.37000274658203, 203.033203125, 513.9099731445312, 215.839599609375)",,,,,,,,,,,,,
chunk_ch0093,Chunk,ch0093,15.0,15.0,reference,12.0,"Меню, вызываемое при помощи иконки , позволяет (см. Рисунок 16):","(56.66400146484375, 229.98997497558594, 282.7439880371094, 243.90997314453125)",14,,,,,,,,,,,,
chunk_ch0094,Chunk,ch0094,15.0,15.0,list_block,12.0,• Посмотреть,"(56.66400146484375, 253.445556640625, 62.18353271484375, 268.146728515625)",,['• Посмотреть'],,,,,,,,,,,
chunk_ch0095,Chunk,ch0095,15.0,15.0,paragraph,12.0,статистику,"(145.25, 254.4700164794922, 207.4819793701172, 268.3900146484375)",155,,,,,,,,,,,,
chunk_ch0096,Chunk,ch0096,15.0,15.0,paragraph,12.0,;,"(207.6699981689453, 254.4700164794922, 213.30999755859375, 268.3900146484375)",155,,,,,,,,,,,,
chunk_ch0097,Chunk,ch0097,15.0,15.0,list_block,12.0,• Посмотреть,"(56.66400146484375, 277.95550537109375, 62.18353271484375, 292.65667724609375)",,['• Посмотреть'],,,,,,,,,,,
chunk_ch0098,Chunk,ch0098,15.0,15.0,paragraph,12.0,Журнал,"(145.25, 278.9799499511719, 190.21400451660156, 292.89996337890625)",129,,,,,,,,,,,,
chunk_ch0099,Chunk,ch0099,15.0,15.0,paragraph,12.0,;,"(190.38999938964844, 278.9799499511719, 196.02999877929688, 292.89996337890625)",129,,,,,,,,,,,,
chunk_ch0100,Chunk,ch0100,15.0,15.0,list_block,12.0,• Выгрузить данные,"(56.66400146484375, 302.195556640625, 62.18353271484375, 316.896728515625)",,['• Выгрузить данные'],,,,,,,,,,,
chunk_ch0101,Chunk,ch0101,15.0,15.0,paragraph,12.0,;,"(177.42999267578125, 303.2200012207031, 183.30999755859375, 317.1400146484375)",132,,,,,,,,,,,,
chunk_ch0102,Chunk,ch0102,15.0,15.0,list_block,12.0,"• Сгенерировать событие;
• Переместить рассылку в нужный каталог;
• Клонировать (дублировать) рассылку;
• Удалить рассылку.","(56.66400146484375, 326.675537109375, 62.18353271484375, 341.376708984375)",,"['• Сгенерировать событие;', '• Переместить рассылку в нужный каталог;', '• Клонировать (дублировать) рассылку;', '• Удалить рассылку.']",,,,,,,,,,,
chunk_ch0106,Chunk,ch0106,15.0,15.0,reference,11.04,Рисунок 16 — Расположение кнопок меню в списке рассылок,"(152.2100067138672, 655.3131713867188, 474.07000732421875, 668.1195678710938)",,,,,,,,,,,,,
chunk_ch0107,Chunk,ch0107,15.0,15.0,reference,12.0,Колонка с названием «Тип» визуализирует тип указанной рассылки (см. Рисунок 15).,"(56.66400146484375, 678.2200317382812, 570.0999755859375, 692.1400146484375)",14,,,,,,,,,,,,
chunk_ch0108,Chunk,ch0108,15.0,15.0,paragraph,12.0,"Информационные рассылки обозначаются иконкой , а целевые – .","(56.66400146484375, 698.6199951171875, 355.70001220703125, 712.5399780273438)",,,,,,,,,,,,,
chunk_ch0109,Chunk,ch0109,16.0,16.0,paragraph,12.0,16,"(306.6000061035156, 810.47998046875, 319.9200134277344, 824.3999633789062)",,,,,,,,,,,,,
chunk_ch0110,Chunk,ch0110,16.0,16.0,reference,11.04,Рисунок 17 — Расположение кнопок запуска / остановки в списке рассылок,"(112.61000061035156, 203.033203125, 513.6699829101562, 215.839599609375)",,,,,,,,,,,,,
chunk_ch0111,Chunk,ch0111,16.0,16.0,reference,12.0,"Рядом со строкой поиска рассылки по названию справа размещена иконка фильтра . При ее нажатии можно отфильтровать рассылки в каталоге по типу рассылки (информационная и целевая) и по состоянию рассылки (не запускалась, включена в активном режиме, в пассивном и выключена) см. Рисунок 18.","(56.66400146484375, 225.91001892089844, 551.72607421875, 239.83001708984375)",15,,,,,,,,,,,,
chunk_ch0112,Chunk,ch0112,16.0,16.0,reference,11.04,"Рисунок 18 - Фильтры, применяемые в каталоге рассылок","(160.8699951171875, 448.8631896972656, 465.4300231933594, 461.6695861816406)",,,,,,,,,,,,,
chunk_ch0113,Chunk,ch0113,16.0,16.0,paragraph,22.08,Настройка сценария рассылки,"(56.66400146484375, 473.580322265625, 392.0321350097656, 501.1361389160156)",,,,,,,,,,,,,
chunk_ch0114,Chunk,ch0114,16.0,16.0,paragraph,12.0,"Конструктор позволяет задать сценарий рассылки, который будет выполняться для каждого клиента из аудитории рассылки.","(56.66400146484375, 516.4099731445312, 569.5200805664062, 530.3299560546875)",,,,,,,,,,,,,
chunk_ch0115,Chunk,ch0115,16.0,16.0,paragraph,12.0,Сценарий рассылки состоит из:,"(56.66400146484375, 557.2100219726562, 242.6199951171875, 571.1300048828125)",,,,,,,,,,,,,
chunk_ch0116,Chunk,ch0116,16.0,16.0,list_block,12.0,"• события Start;
• блоков действий;
• связей между блоками действий.","(56.66400146484375, 580.905517578125, 62.18353271484375, 595.606689453125)",,"['• события Start;', '• блоков действий;', '• связей между блоками действий.']",,,,,,,,,,,
chunk_ch0119,Chunk,ch0119,16.0,16.0,paragraph,12.0,"При создании рассылки в конструкторе автоматически создается событие Start, которое является начальной точкой выполнения сценария рассылки. Также в редакторе отображается кнопка «Добавить блок», при помощи которой в рассылку добавляются блоки действий. События и блоки действий соединяются при помощи мыши, образуя связи.","(56.66400146484375, 653.9500122070312, 570.033935546875, 667.8699951171875)",,,,,,,,,,,,,
chunk_ch0120,Chunk,ch0120,16.0,16.0,reference,12.0,"В простейшем случае сценарий рассылки представляет собой событие Start, связанное с одним блоком действий (см. Рисунок 19).","(56.66400146484375, 747.0960083007812, 570.0999755859375, 761.0159912109375)",16,,,,,,,,,,,,
chunk_ch0121,Chunk,ch0121,17.0,17.0,paragraph,12.0,17,"(306.8399963378906, 810.47998046875, 319.67999267578125, 824.3999633789062)",,,,,,,,,,,,,
chunk_ch0122,Chunk,ch0122,17.0,17.0,reference,11.04,Рисунок 19 — Создан сценарий простейшей рассылки,"(169.75, 278.18316650390625, 456.5299987792969, 290.98956298828125)",,,,,,,,,,,,,
chunk_ch0123,Chunk,ch0123,17.0,17.0,paragraph,18.0,Событие Start,"(56.66400146484375, 302.7820129394531, 183.67599487304688, 325.2460021972656)",,,,,,,,,,,,,
