id,label,chunk_id,order,page_start,page_end,text
listitem_ch0664_2,ListItem,ch0664,2,63,63,"POST_PURCHASE_UPDATE - Уведомление клиента об обновлении, связанном с недавней покупкой."
listitem_ch0664_3,ListItem,ch0664,3,63,63,ACCOUNT_UPDATE - Уведомление клиента об однократном изменении его заявки или аккаунта.
listitem_ch0685_0,ListItem,ch0685,0,64,64,Начинать сразу после запуска рассылки
listitem_ch0685_1,ListItem,ch0685,1,64,64,Начинать в заданное время
listitem_ch0685_2,ListItem,ch0685,2,64,64,Начинать в заданное время и отправлять равномерно
listitem_ch0685_3,ListItem,ch0685,3,64,64,Начинать при возникновении события для заданной аудитории
listitem_ch0685_4,ListItem,ch0685,4,64,64,Начинать в заданное время и отправлять равномерно (аудитория из внешней системы)
listitem_ch0685_5,ListItem,ch0685,5,64,64,Начинать при выставлении тега
listitem_ch0685_6,ListItem,ch0685,6,64,64,Начинать при возникновении события
listitem_ch0685_7,ListItem,ch0685,7,64,64,Начинать при получении ключевого слова
listitem_ch0749_0,ListItem,ch0749,0,67,67,id
listitem_ch0751_0,ListItem,ch0751,0,67,67,phone и messengers_order
listitem_ch0753_0,ListItem,ch0753,0,67,67,только phone (если нужно принудительно отправить SMS).
listitem_ch0789_0,ListItem,ch0789,0,68,68,иметь кодировку UTF8;
listitem_ch0789_1,ListItem,ch0789,1,68,68,"содержать заголовок, подобный описанному выше;"
listitem_ch0789_2,ListItem,ch0789,2,68,68,использовать в качестве разделителя символ ';'.
listitem_ch0837_0,ListItem,ch0837,0,72,72,"«Не запущена» — состояние рассылки с момента создания и до первого запуска. В этом состоянии пользователь (маркетолог) разрабатывает сценарий рассылки, задает основные настройки и аудиторию."
listitem_ch0837_1,ListItem,ch0837,1,72,72,"«Включена в активном режиме» — в это состояние рассылка переходит поле запуска. В зависимости от настроек условий начала рассылки она начнет выполняться либо сразу, либо при появлении события или тега у клиента, либо при получении ключевого слова от клиента в мессенджере."
listitem_ch0837_2,ListItem,ch0837,2,72,72,"«Включена в пассивном режиме» — в этом состоянии выполняются сценарии рассылок, начавшиеся в активном режиме, но не запускаются новые."
listitem_ch0842_0,ListItem,ch0842,0,72,72,"«Отключена» — в этом состоянии рассылка не начинается для новых клиентов и не продолжается для тех, для кого она была начата ранее. Иными словами, клиенты не получают новые сообщения рассылки, а нажатия на кнопки в ранее полученных сообщениях не обрабатываются. Это состояние нужно для полного прекращения рассылки."
listitem_ch0873_0,ListItem,ch0873,0,75,75,"1. Перевести рассылку в состояние «Отключена», нажав на иконку и выбрав в раскрывшемся меню пункт «Отключить»."
listitem_ch0875_0,ListItem,ch0875,0,75,75,2. Перейти к списку рассылок.
listitem_ch0875_1,ListItem,ch0875,1,75,75,"3. В списке рассылок клонировать рассылку, нажав на иконку и выбрав в раскрывшемся меню пункт «Клонировать» (см. Рисунок 102)."
listitem_ch0879_0,ListItem,ch0879,0,76,76,"4. Внести изменения в клонированной рассылке (сценарий, условия запуска, аудитория)."
listitem_ch0879_1,ListItem,ch0879,1,76,76,5. Запустить клонированную рассылку.
listitem_ch0882_0,ListItem,ch0882,0,76,76,"1. При клонировании важно не забыть перевести в состояние «Отключена» исходную рассылку, чтобы клиенты не получили обе рассылки."
listitem_ch0882_1,ListItem,ch0882,1,76,76,"2. Необходимо внимательно следить за пересечением клиентов в исходной и клонированной рассылках, чтобы избежать отправки двух рассылок одному клиенту. Для этого в клонированной рассылке можно воспользоваться настройкой"
listitem_ch0885_0,ListItem,ch0885,0,76,76,"3. Если рассылка с фиксированной аудиторией начинается по событию, то после клонирования обе рассылки будут начинаться при генерации одного события. Таким образом, для одного клиента могут «сработать» обе рассылки. Чтобы избежать этого, исходную рассылку нужно перевести в пассивный режим или отключить."
listitem_ch0889_0,ListItem,ch0889,0,76,76,SMSC (
listitem_ch0892_0,ListItem,ch0892,0,76,76,МТС (
listitem_ch0895_0,ListItem,ch0895,0,76,76,СМС услуги (
listitem_ch0898_0,ListItem,ch0898,0,76,76,SMS.ru (
listitem_ch0903_0,ListItem,ch0903,0,77,77,1. Перейти в раздел «SMS-провайдеры» и нажать кнопку «+ Создать» в правом верхнем углу (см. Рисунок 103).
listitem_ch0905_0,ListItem,ch0905,0,77,77,2. Далее необходимо указать данные учетной записи выбранного SMS-провайдера (см. Рисунок 104):
listitem_ch0906_0,ListItem,ch0906,0,77,77,"Название — название провайдера, которое будет использоваться в Maxbot;"
listitem_ch0906_1,ListItem,ch0906,1,77,77,Описание — произвольный текст о добавляемом провайдере;
listitem_ch0906_2,ListItem,ch0906,2,77,77,"Использовать по умолчанию — если флажок установлен, то провайдер будет добавлен во все создаваемые рассылки в качестве SMS-провайдера. Если провайдер по умолчанию не задан, то рассылки создаются без SMS-провайдера;"
listitem_ch0906_3,ListItem,ch0906,3,77,77,"Тип — выбрать значение «SMS ЦЕНТР», «МТС», «СМС услуги» или «SMS.ru»;"
listitem_ch0906_4,ListItem,ch0906,4,77,77,Логин — логин учетной записи выбранного провайдера;
listitem_ch0906_5,ListItem,ch0906,5,77,77,Пароль — пароль учетной записи выбранного провайдера;
listitem_ch0906_6,ListItem,ch0906,6,77,77,"Отправитель — название отправителя (от чьего имени клиенты будут получать сообщения). Рекомендуется, чтобы это имя совпадало с тем, что задано в настройках учетной записи самого SMS-провайдера (причем, с учетом регистра). В общем случае это определяется условиями договора с SMS-провайдером."
listitem_ch0915_0,ListItem,ch0915,0,78,78,3. Нажать на кнопку «Создать».
listitem_ch0956_0,ListItem,ch0956,0,81,81,1. Если лендинг еще не создан — создать его. Подробнее см. описание в подразделе
listitem_ch0959_0,ListItem,ch0959,0,81,81,2. В SMS-блоке нажать на кнопку и в меню выбрать пункт «Лендинг подключения к мессенджеру» (см. Рисунок 109).
listitem_ch0961_0,ListItem,ch0961,0,81,81,3. Задать свойства для лендинга (см. Рисунок 110):
listitem_ch0962_0,ListItem,ch0962,0,81,81,«Посадочная страница» — выбрать один из созданных ранее лендингов;
listitem_ch0962_1,ListItem,ch0962,1,81,81,"«Текст до», «Текст после» — задать (необязательно) текст до или после SMS- сообщения;"
listitem_ch0967_0,ListItem,ch0967,0,82,82,"Время жизни ссылки для подключения к мессенджеру — задать время, в течение которого ссылка будет действительной; если задать «0», то ссылка будет действовать без ограничения времени."
listitem_ch0969_0,ListItem,ch0969,0,82,82,4. Нажать на кнопку «Сохранить».
listitem_ch1000_0,ListItem,ch1000,0,84,84,Запуск рассылки;
listitem_ch1000_1,ListItem,ch1000,1,84,84,Остановка рассылки.
listitem_ch1035_0,ListItem,ch1035,0,88,88,в настройках кнопок-действий (см. Рисунок 120);
listitem_ch1035_1,ListItem,ch1035,1,88,88,в настройках условия запуска рассылки (см. Рисунок 121).
listitem_ch1043_0,ListItem,ch1043,0,89,89,клиентом самостоятельно — в результате нажатий на кнопки в сообщениях рассылки (см. подробнее в подразделе
listitem_ch1046_0,ListItem,ch1046,0,89,89,компанией — в результате выполнения API-запроса (см. запрос «Изменение тегов клиентов» в разделе
listitem_ch1059_0,ListItem,ch1059,0,90,90,1. Системные:
listitem_ch1060_0,ListItem,ch1060,0,90,90,Добавление нового клиента;
listitem_ch1060_1,ListItem,ch1060,1,90,90,Подтверждение номера телефона.
listitem_ch1062_0,ListItem,ch1062,0,90,90,2. Пользовательские.
listitem_ch1149_0,ListItem,ch1149,0,100,100,customer_name — имя и отчество клиента;
listitem_ch1149_1,ListItem,ch1149,1,100,100,customer_discount — персональная скидка.
listitem_ch1190_0,ListItem,ch1190,0,101,101,Тексты сообщений;
listitem_ch1190_1,ListItem,ch1190,1,101,101,Заголовки кнопок;
listitem_ch1190_2,ListItem,ch1190,2,101,101,URL для кнопок-ссылок;
listitem_ch1190_3,ListItem,ch1190,3,101,101,URL для медиа-контента;
listitem_ch1190_4,ListItem,ch1190,4,101,101,Сообщения при переводе в канал;
listitem_ch1190_5,ListItem,ch1190,5,101,101,Большинство полей настроек вызова внешней системы (кроме названий заголовков запроса и названий параметров запроса);
listitem_ch1190_6,ListItem,ch1190,6,101,101,Аргументы события при генерации событий;
listitem_ch1190_7,ListItem,ch1190,7,101,101,Все текстовые поля SMS-блока и настройки вызова внешней системы в SMS-блоке
listitem_ch1190_8,ListItem,ch1190,8,101,101,Многие текстовые поля других действий
listitem_ch1211_0,ListItem,ch1211,0,102,102,"1. Если аудитория задается статично, то пока ни одного клиента не задано в рассылку можно добавлять любые макросы. Однако, при загрузке аудитории все заданные макросы должны быть у всех добавляемых в рассылку клиентов. Иначе при загрузке аудитории маркетолог увидит ошибку."
listitem_ch1211_1,ListItem,ch1211,1,102,102,"2. Если аудитория задается статично, и аудитория рассылки уже задана, то в рассылку можно добавлять только те макросы, значения которых есть у всех клиентов из аудитории рассылки. При попытке использовать в тексте отсутствующий хотя бы у одного клиента макрос маркетолог получит ошибку."
listitem_ch1211_2,ListItem,ch1211,2,102,102,"3. Если рассылка начинается при выставлении тега или при получении ключевого слова, то использование макросов недопустимо. Т. к. нет способа задавать значения этих макросов."
listitem_ch1211_3,ListItem,ch1211,3,102,102,"4. Если рассылка начинается при возникновении события, то в рассылку можно добавлять только макросы, названия которых совпадают с именами аргументов события, по которому стартует рассылка. При попытке использовать другой макрос возникнет ошибка. При попытке удалить аргумент события, который используется в рассылке, возникнет ошибка. При попытке сменить событие, по которому запускается рассылка, требуется чтобы у нового события были все аргументы, которые используются в рассылке."
listitem_ch1211_4,ListItem,ch1211,4,102,102,"5. Если рассылка имеет фиксированную аудиторию и начинается по событию, то макросы берутся и из фиксированной аудитории, и из аргументов события. При этом они не могут пересекаться, т. е. нельзя загрузить аудиторию с определенным макросом и использовать одноименный аргумент в событии."
listitem_ch1225_0,ListItem,ch1225,0,103,103,maxbot_id — идентификатор бота;
listitem_ch1225_1,ListItem,ch1225,1,103,103,maxbot_name — название бота;
listitem_ch1225_2,ListItem,ch1225,2,103,103,company_name — название компании;
listitem_ch1225_3,ListItem,ch1225,3,103,103,external_messenger_id — идентификатор (id) в Viber. Тип string;
listitem_ch1225_4,ListItem,ch1225,4,103,103,messenger_type — тип мессенджера;
listitem_ch1225_5,ListItem,ch1225,5,103,103,messenger_id — идентификатор (id) в мессенджерах (кроме Viber). Тип integer. Для Viber это значение генерируется в боте.
listitem_ch1232_0,ListItem,ch1232,0,104,104,customer_messenger_id — идентификатор клиента в Maxbot;
listitem_ch1232_1,ListItem,ch1232,1,104,104,"phone — подтвержденный номер телефона клиента. None, если нет подтвержденного номера."
listitem_ch1250_0,ListItem,ch1250,0,105,105,Адрес;
listitem_ch1250_1,ListItem,ch1250,1,105,105,Текст сообщения в случае ошибки;
listitem_ch1250_2,ListItem,ch1250,2,105,105,Значение заголовка запроса
listitem_ch1258_0,ListItem,ch1258,0,105,105,Значение параметра запроса;
listitem_ch1258_1,ListItem,ch1258,1,105,105,Тело запроса
listitem_ch1284_0,ListItem,ch1284,0,107,107,1. Бот задает клиенту вопросы формы и ждет ответа некоторое время.
listitem_ch1286_0,ListItem,ch1286,0,108,108,"3. Если ответ клиента соответствует типу вопроса, то бот сохраняет ответ и задает следующий вопрос."
listitem_ch1286_1,ListItem,ch1286,1,108,108,"4. Если ответ не соответствует типу вопроса, то бот задает вопрос повторно."
listitem_ch1286_2,ListItem,ch1286,2,108,108,"5. Когда все вопросы заданы, бот отправляет клиенту результаты опроса – перечисляет вопросы, данные на них ответы и просит клиента подтвердить их, либо исправить неточности."
listitem_ch1286_3,ListItem,ch1286,3,108,108,"6. После подтверждения клиента бот записывает ответы в специальные переменные (слоты), к которым можно обратиться в сценарии рассылки. Например, чтобы отправить их в компанию с помощью вызова внешней системы."
listitem_ch1286_4,ListItem,ch1286,4,108,108,"7. Далее сценарий рассылки продолжается в соответствии с теми действиями, которые заданы для выхода при успешном заполнении формы."
listitem_ch1294_0,ListItem,ch1294,0,108,108,Короткий текст – в ответ принимается любая последовательность символов;
listitem_ch1294_1,ListItem,ch1294,1,108,108,Email – в ответ принимаются адреса электронной почты вида customer@example.com;
listitem_ch1294_2,ListItem,ch1294,2,108,108,Число – в ответ принимаются положительные и отрицательные вещественные числа;
listitem_ch1294_3,ListItem,ch1294,3,108,108,Телефон – номер телефона как последовательность 11 цифр. При этом бот не будет просить подтвердить отправленное ему значение;
listitem_ch1294_4,ListItem,ch1294,4,108,108,Файл – в ответ принимаются один или несколько файлов. В текущей версии Maxbot принимаются только изображения.
listitem_ch1294_5,ListItem,ch1294,5,108,108,"Дата – принимаются различные форматы дат: «11.12.2021», «10 декабря», «завтра». При этом клиент может указать дату из прошлого."
listitem_ch1294_6,ListItem,ch1294,6,108,108,"Варианты ответа – маркетолог задает фиксированный набор вариантов ответа в настройках вопроса, клиент может выбрать один из этих вариантов."
listitem_ch1323_0,ListItem,ch1323,0,109,109,1. Нажать на форме на кнопку .
listitem_ch1323_1,ListItem,ch1323,1,109,109,2. В открывшемся окне нажать на кнопку «Добавить вопрос» и выбрать тип вопроса из предложенного списка (см. Рисунок 143).
listitem_ch1327_0,ListItem,ch1327,0,110,110,3. Добавленный вопрос появится в списке слева. Справа необходимо задать настройки вопроса. К основным настройкам вопроса относятся:
listitem_ch1328_0,ListItem,ch1328,0,110,110,"Идентификатор ответа на вопрос – уникальный идентификатор, по которому можно будет получить ответ клиента на этот вопрос. Подробнее об этом в см. разделе"
listitem_ch1331_0,ListItem,ch1331,0,110,110,"Вопрос – текст вопроса, который бот отправит клиенту в мессенджер. Для вопросов всех типов, кроме «Короткий текст», рекомендуется формулировать, что ожидается от клиента. Например, не задавать вопрос «Когда вы хотите записаться на наши услуги?», что подразумевает разные ответы вида «В следующем месяце», «В конце недели», а явно просить указать день, например: «Укажите, пожалуйста, какого числа вы хотели бы записаться на наши услуги?»."
listitem_ch1331_1,ListItem,ch1331,1,110,110,"Краткое описание вопроса – сжатое, но емкое описание, позволяющее и клиенту, и маркетологу идентифицировать вопрос. Например, «Имя», «Возраст» или «Телефон». Маркетолог видит краткое описание вопроса в списке вопросов слева (см. Рисунок 144). Клиент увидит краткое описание вопроса при переходе в меню формы и при просмотре результатов заполнения формы, когда будет проверять правильность ответов."
listitem_ch1331_2,ListItem,ch1331,2,110,110,"Опция «Обязательный вопрос» – если установлена, то клиент не может пропустить этот вопрос и должен дать подходящий ответ. Если опция не установлена, то появляется кнопка «Пропустить этот вопрос»:"
listitem_ch1338_0,ListItem,ch1338,0,111,111,1. Перейти на вкладку «Медиа».
listitem_ch1338_1,ListItem,ch1338,1,111,111,2. Нажать на кнопку .
listitem_ch1338_2,ListItem,ch1338,2,111,111,3. Выбрать тип добавляемого файла (см. Рисунок 145) и добавить нужные файлы при
